,title,price,link
0,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","39,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMDE0MTU1NjQwMDk0Nzg3OjE3MjY0Mjg4NTM6c3BfYXRmX25leHQ6MzAwMTA0NjAzNDk3NDMyOjowOjo&url=%2FLenovo-IdeaPad-Laptop-Windows-82R400ERIN%2Fdp%2FB0CP2KRYLM%2Fref%3Dsr_1_129_sspa%3Fcrid%3D2736DUN6WZ9X9%26dib%3DeyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726428853%26sprefix%3Dlaptop%252Caps%252C218%26sr%3D8-129-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
1,"Apple 2023 MacBook Pro (14-inch, M3 Pro chip with 11â€‘core CPU and 14â€‘core GPU, 18GB Unified Memory, 512GB) - Silver  ","1,87,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMDE0MTU1NjQwMDk0Nzg3OjE3MjY0Mjg4NTM6c3BfYXRmX25leHQ6MzAwMDg1NDAzMjE4NTMyOjowOjo&url=%2FApple-MacBook-14-inch-11%25E2%2580%2591core-14%25E2%2580%2591core%2Fdp%2FB0CM5S13ZL%2Fref%3Dsr_1_130_sspa%3Fcrid%3D2736DUN6WZ9X9%26dib%3DeyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726428853%26sprefix%3Dlaptop%252Caps%252C218%26sr%3D8-130-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2,"Lenovo IdeaPad Slim 5 Intel Core Ultra 5 125H Built-in AI 14"" (35.5cm) WUXGA-OLED 400Nits Thin & Light Laptop (16GB/1TB SSD/Win 11/Office 21/FHD+IR Camera/Alexa/3 Mon GamePass/Grey/1.4Kg), 83DA003GIN  ","78,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMDE0MTU1NjQwMDk0Nzg3OjE3MjY0Mjg4NTM6c3BfbXRmOjMwMDMyMzY0NTI0OTUzMjo6MDo6&url=%2FLenovo-IdeaPad-WUXGA-OLED-GamePass-83DA003GIN%2Fdp%2FB0CYGZSBRV%2Fref%3Dsr_1_139_sspa%3Fcrid%3D2736DUN6WZ9X9%26dib%3DeyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726428853%26sprefix%3Dlaptop%252Caps%252C218%26sr%3D8-139-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
3,"Lenovo Thinkpad P16s 13th Gen Intel Core i7 16""(40.64 cm) WUXGA IPS 300nits Thin and Light Workstation (16GB/1TB SSD/Windows 11 Pro/Backlit/Villi Black/3Y Premier Support/1.70Kg), 21HKS04W00  ","1,12,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMDE0MTU1NjQwMDk0Nzg3OjE3MjY0Mjg4NTM6c3BfbXRmOjMwMDMxNDM1Njk4NjUzMjo6MDo6&url=%2FLenovo-Thinkpad-300nits-Workstation-21HKS04W00%2Fdp%2FB0D8L2HWCP%2Fref%3Dsr_1_140_sspa%3Fcrid%3D2736DUN6WZ9X9%26dib%3DeyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726428853%26sprefix%3Dlaptop%252Caps%252C218%26sr%3D8-140-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
4,"ASUS TUF F17 Gaming Laptop, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) 144Hz, (8GB RAM/512GB SSD/4GB NVIDIA GeForce RTX 2050/Windows 11/ RGB Backlit KB/Black/2.30 kg), FX706HF-HX018W  ","48,990",https://amazon.in//ASUS-i5-11400H-17-3-inch-GeForce-FX706HF-HX018W/dp/B0C27VNNWH/ref=sr_1_141?crid=2736DUN6WZ9X9&dib=eyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE&dib_tag=se&keywords=laptop&qid=1726428853&sprefix=laptop%2Caps%2C218&sr=8-141
5,"Lenovo LOQ 2024 Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (24GB/512GB SSD/Win 11/NVIDIA RTX 3050 6GB Graphics/1Yr ADP Free/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS0098IN  ","73,990",https://amazon.in//Lenovo-i5-12450HX-300Nits-Graphics-83GS0098IN/dp/B0DB218DK7/ref=sr_1_142?crid=2736DUN6WZ9X9&dib=eyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE&dib_tag=se&keywords=laptop&qid=1726428853&sprefix=laptop%2Caps%2C218&sr=8-142
6,"MSI Thin 15, Intel 13th Gen. Core i7-13620H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1804IN  ","74,990",https://amazon.in//MSI-i7-13620H-Windows-GeForce-B13UC-1804IN/dp/B0CV9LFHYG/ref=sr_1_143?crid=2736DUN6WZ9X9&dib=eyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE&dib_tag=se&keywords=laptop&qid=1726428853&sprefix=laptop%2Caps%2C218&sr=8-143
7,"Dell Inspiron 3520 Laptop,12th Gen Intel Core i3-1215 Processor, 8GB, 512GB SSD, 15.6"" (39.62Cms FHD, Win 11 + MSO'21, Silver, 15 Month McAfee Antivirus, Thin & Light-1.65kg  ","36,300",https://amazon.in//Dell-Inspiron-i3-1215-39-62Cms-D560915WIN9S/dp/B0BH4T1D8X/ref=sr_1_144?crid=2736DUN6WZ9X9&dib=eyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE&dib_tag=se&keywords=laptop&qid=1726428853&sprefix=laptop%2Caps%2C218&sr=8-144
8,"HP Laptop 15, 13th Gen Intel Core i5-1335U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe graphics, FHD camera w/privacy shutter (Win 11, MSO 2021, Silver, 1.59 kg), fd0011TU  ","55,490",https://amazon.in//HP-i5-1335U-15-6-inch-Graphics-fd0011TU/dp/B0C3RCP717/ref=sr_1_145?crid=2736DUN6WZ9X9&dib=eyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE&dib_tag=se&keywords=laptop&qid=1726428853&sprefix=laptop%2Caps%2C218&sr=8-145
9,"Acer One 14 Business Laptop AMD Ryzen 3 3250U Processor (8GB RAM/256GB SSD/AMD Radeon Graphics/Windows 11 Home) Z2-493 with 35.56 cm (14.0"") HD Display  ","23,760",https://amazon.in//Acer-Business-Processor-Graphics-Z2-493/dp/B0B42QJMJP/ref=sr_1_146?crid=2736DUN6WZ9X9&dib=eyJ2IjoiMSJ9.dflqSTVWNIYQh4t5ImZpUGHUXx25av1Fgyj3a_4A-6_diuWX5UeE7Tz82qeNo5jtCsW4ekh3wvg79CVMxzJbIE8zfcMlZv3Z169CCXdd3AZJ7btK9gsaurh3IhImnQHtw39UAxnPmSsERIfSn-M-a79oPU00acCh7USa2i8_4mRH4g5BoBTWAOc1uLmBAzkS4u6XRE5lnQt56IeiLdPf5Fb4AHWLGYBQm_NEUNSn0gQ.Dh1UUBkrxjjY01SWr9cu7iqJ99-lvVGHd04_1kEvLAE&dib_tag=se&keywords=laptop&qid=1726428853&sprefix=laptop%2Caps%2C218&sr=8-146
